symbol,WT1,p531,p53CAS1,p53RAS1,WT2,p532,p53CAS2,p53RAS2
Oxtr,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Olfr102,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Tpsb2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Olfr178,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Prss45,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Prss22,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Olfr164,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ucn3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ccdc113,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Prss46,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Il24,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Clca6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Tacr2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ppef1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ninj2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Prss38,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Tmprss11a,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Olfr1418,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Actl7a,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Tnp1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Tac2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Lcn6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ghsr,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Zim1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4930447C04Rik,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Rxfp3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Trim71,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.68471
Sptlc3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.68471
Emilin3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E230025N22Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Clec18a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Cyp4x1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Hoxa11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Pmfbp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Pdcl2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Arid3c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Pou6f2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1700007G11Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Cmtm5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bpifb6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Slc35f4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Tnni3k,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Clcnkb,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Lcn5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ceacam16,3e-05,0.0707,1.0,0.03634,0.00074,0.10047,0.60633,0.00315
Clec4b1,4e-05,1.0,0.24105,0.13724,0.00099,0.93412,0.25372,0.05925
Spink3,5e-05,0.03022,0.98545,0.00376,0.00129,0.02114,1.0,0.00251
Camp,5e-05,0.79607,0.18282,0.01209,0.00143,1.0,0.15695,0.0127
Mpo,6e-05,0.67012,0.13587,0.06657,0.00137,1.0,0.0866,0.02123
Slfn4,6e-05,0.20027,1.0,0.13922,0.00146,0.59832,0.63753,0.05239
St8sia6,6e-05,0.00198,1.0,0.00672,0.00142,0.00541,0.98021,0.00272
Cdh17,6e-05,0.00193,0.98815,0.00343,0.0015,0.00192,1.0,0.00094
Arnt2,7e-05,0.0013,1.0,0.00604,0.0018,0.00458,0.87394,0.0026
Ngp,8e-05,0.40681,0.19395,0.03188,0.00206,1.0,0.19603,0.01737
Cd244,9e-05,0.58752,1.0,0.06972,0.00222,0.70973,0.89906,0.02234
Sult1e1,9e-05,0.01401,0.89165,0.00026,0.0,0.02199,1.0,0.00049
Ptger3,0.0001,0.01235,0.90624,0.00338,0.00242,0.01235,1.0,0.00313
Clec4e,0.0001,0.40441,1.0,0.50898,0.00247,0.54843,0.90938,0.13639
Xlr,0.00011,0.05349,0.99055,0.08761,0.00302,0.02421,1.0,0.02196
Cmya5,0.00011,0.00794,1.0,0.00622,0.00284,0.02519,0.64182,0.00365
Ccl17,0.00012,0.04466,0.80578,0.00179,0.00293,0.03558,1.0,0.00383
Etv4,0.00013,0.00052,1.0,0.00027,0.00017,0.00058,0.76758,9e-05
Slc7a3,0.00014,0.01879,0.96098,0.03815,0.00357,0.03182,1.0,0.0
Zbtb8b,0.00016,0.19234,1.0,0.01705,0.00397,0.3006,0.67822,0.00502
Elavl4,0.00017,0.0,1.0,0.00689,0.00432,0.0,0.73331,0.0
Tnfsf8,0.00018,0.00016,1.0,0.01215,0.00457,0.00578,0.7937,0.0
Jakmip2,0.0002,0.0,1.0,0.0,0.00509,0.0,0.87518,0.0
Gpr55,0.00021,0.00792,1.0,0.04626,0.00535,0.03387,0.80549,0.00835
Ydjc,0.00022,0.23603,1.0,0.05662,0.00542,0.21095,0.89589,0.03322
Ltf,0.00023,0.5232,0.2561,0.03032,0.00676,1.0,0.29044,0.0116
Dclk1,0.00024,0.08073,0.99399,0.08091,0.00603,0.24894,1.0,0.04074
Aldh3a1,0.00024,0.02315,1.0,0.00235,0.00604,0.02315,0.65102,0.00593
Naaladl1,0.00025,0.01573,1.0,0.04876,0.00623,0.01567,0.52928,0.0
