atID,logFC,P-value,FDR,type,key
AT5G65520,-0.68,0.002947565,0.033599615,+Al/+Pi_pH6,wt
AT1G27435,-0.68,0.000456637,0.007648021,+Al/+Pi_pH6,wt
AT3G59540,-0.68,0.001908356,0.024015925,+Al/+Pi_pH6,wt
AT2G47690,-0.68,0.000447625,0.007534094,+Al/+Pi_pH6,wt
AT4G37530,-0.68,0.000483786,0.008030376,+Al/+Pi_pH6,wt
AT5G20090,-0.68,0.00067789,0.010614741,+Al/+Pi_pH6,wt
AT3G09940,-0.69,0.000206432,0.004024346,+Al/+Pi_pH6,wt
AT2G43460,-0.69,0.001916696,0.024106052,+Al/+Pi_pH6,wt
AT5G50810,-0.69,0.000850157,0.01264415,+Al/+Pi_pH6,wt
AT4G03510,-0.69,0.000622414,0.009889944,+Al/+Pi_pH6,wt
AT3G16430,-0.69,0.002579301,0.030314195,+Al/+Pi_pH6,wt
AT1G51470,-0.69,0.004688064,0.048023356,+Al/+Pi_pH6,wt
AT2G20490,-0.69,0.002042086,0.025202575,+Al/+Pi_pH6,wt
AT5G27700,-0.69,0.003070009,0.034590455,+Al/+Pi_pH6,wt
AT5G17050,-0.70,0.000116483,0.002471037,+Al/+Pi_pH6,wt
AT5G66040,-0.70,0.000963612,0.014025526,+Al/+Pi_pH6,wt
AT2G02680,-0.70,0.00260292,0.030539141,+Al/+Pi_pH6,wt
AT1G06000,-0.70,5.18749E-05,0.001233537,+Al/+Pi_pH6,wt
AT1G65985,-0.70,1.76489E-05,0.000486414,+Al/+Pi_pH6,wt
AT2G43810,-0.70,0.001692892,0.021897307,+Al/+Pi_pH6,wt
AT3G24520,-0.70,5.43248E-05,0.001281362,+Al/+Pi_pH6,wt
AT5G07390,-0.70,0.001820657,0.023125736,+Al/+Pi_pH6,wt
AT3G53740,-0.70,0.000241562,0.004569552,+Al/+Pi_pH6,wt
AT3G23210,-0.70,2.4726E-05,0.000649096,+Al/+Pi_pH6,wt
AT3G56030,-0.70,0.000423821,0.007192639,+Al/+Pi_pH6,wt
AT1G48330,-0.70,0.003946638,0.042101587,+Al/+Pi_pH6,wt
AT1G21930,-0.70,0.002214071,0.02677572,+Al/+Pi_pH6,wt
AT1G76405,-0.71,0.002972919,0.033794433,+Al/+Pi_pH6,wt
AT1G33120,-0.71,0.000592693,0.009528745,+Al/+Pi_pH6,wt
AT1G49820,-0.71,6.2417E-05,0.001430973,+Al/+Pi_pH6,wt
AT3G23410,-0.71,7.6979E-05,0.001717266,+Al/+Pi_pH6,wt
AT1G20380,-0.71,4.65483E-05,0.001126524,+Al/+Pi_pH6,wt
AT2G32270,-0.71,0.001898303,0.023944712,+Al/+Pi_pH6,wt
AT2G23930,-0.71,0.000740187,0.011363986,+Al/+Pi_pH6,wt
AT1G59960,-0.71,0.000422661,0.007184878,+Al/+Pi_pH6,wt
AT1G54410,-0.71,0.00306803,0.034590455,+Al/+Pi_pH6,wt
AT5G38610,-0.71,0.000444033,0.007479803,+Al/+Pi_pH6,wt
AT4G31310,-0.71,0.000160311,0.003245901,+Al/+Pi_pH6,wt
AT5G13565,-0.71,0.00364602,0.039639078,+Al/+Pi_pH6,wt
AT1G14450,-0.71,0.000603874,0.009655372,+Al/+Pi_pH6,wt
AT1G03457,-0.71,0.000317137,0.005664147,+Al/+Pi_pH6,wt
AT3G22840,-0.71,0.001383805,0.018728536,+Al/+Pi_pH6,wt
AT1G63940,-0.72,9.1032E-05,0.001993153,+Al/+Pi_pH6,wt
AT4G29480,-0.72,5.3917E-05,0.001273214,+Al/+Pi_pH6,wt
AT5G58320,-0.72,0.000316886,0.005664147,+Al/+Pi_pH6,wt
AT3G47836,-0.72,0.002771427,0.031984023,+Al/+Pi_pH6,wt
AT1G16000,-0.72,0.001540362,0.020401814,+Al/+Pi_pH6,wt
AT5G05250,-0.72,0.000809111,0.01218433,+Al/+Pi_pH6,wt
AT2G22170,-0.72,0.001717081,0.02209837,+Al/+Pi_pH6,wt
AT3G02190,-0.72,0.002213976,0.02677572,+Al/+Pi_pH6,wt
AT1G77750,-0.72,0.000167742,0.003384971,+Al/+Pi_pH6,wt
AT1G32380,-0.72,0.000628373,0.009945997,+Al/+Pi_pH6,wt
AT1G61930,-0.72,0.004145203,0.043605655,+Al/+Pi_pH6,wt
AT1G01470,-0.72,5.27043E-05,0.00125035,+Al/+Pi_pH6,wt
AT1G05570,-0.72,0.003097495,0.0348234,+Al/+Pi_pH6,wt
AT1G64690,-0.73,0.003068994,0.034590455,+Al/+Pi_pH6,wt
AT5G27100,-0.73,0.00117882,0.016488964,+Al/+Pi_pH6,wt
AT5G02350,-0.73,0.000770411,0.011704984,+Al/+Pi_pH6,wt
AT5G16900,-0.73,0.000693882,0.010815458,+Al/+Pi_pH6,wt
AT1G47840,-0.73,0.000251975,0.004723082,+Al/+Pi_pH6,wt
AT3G57320,-0.73,0.002630196,0.030774828,+Al/+Pi_pH6,wt
AT3G02610,-0.73,0.002478864,0.029404164,+Al/+Pi_pH6,wt
AT1G76200,-0.73,0.000593674,0.009532052,+Al/+Pi_pH6,wt
AT2G04170,-0.73,5.46348E-05,0.001285908,+Al/+Pi_pH6,wt
AT3G22850,-0.73,3.92948E-05,0.000970505,+Al/+Pi_pH6,wt
AT3G54270,-0.74,0.000476799,0.007933723,+Al/+Pi_pH6,wt
AT5G52250,-0.74,0.000625699,0.009911342,+Al/+Pi_pH6,wt
AT1G80380,-0.74,0.00030627,0.005508557,+Al/+Pi_pH6,wt
AT5G16060,-0.74,0.000181054,0.003613267,+Al/+Pi_pH6,wt
AT4G28190,-0.74,0.000196995,0.003869883,+Al/+Pi_pH6,wt
AT1G23150,-0.74,0.000249714,0.004693618,+Al/+Pi_pH6,wt
AT3G45660,-0.74,0.00165375,0.021540888,+Al/+Pi_pH6,wt
AT5G09240,-0.74,0.003049062,0.034468393,+Al/+Pi_pH6,wt
AT3G62810,-0.75,0.000167842,0.003384971,+Al/+Pi_pH6,wt
AT4G26220,-0.75,0.000403267,0.006883823,+Al/+Pi_pH6,wt
AT5G38550,-0.75,3.69207E-05,0.000917219,+Al/+Pi_pH6,wt
AT1G35430,-0.75,0.004587442,0.047356476,+Al/+Pi_pH6,wt
AT3G01130,-0.75,0.000961268,0.014001381,+Al/+Pi_pH6,wt
AT5G49850,-0.75,0.002887059,0.033186372,+Al/+Pi_pH6,wt
AT1G35580,-0.75,8.25195E-06,0.000248165,+Al/+Pi_pH6,wt
AT5G48290,-0.75,2.034E-05,0.000552395,+Al/+Pi_pH6,wt
AT3G15357,-0.75,0.00020852,0.00405731,+Al/+Pi_pH6,wt
AT3G48080,-0.75,0.001086233,0.015383279,+Al/+Pi_pH6,wt
AT3G10860,-0.75,0.000748944,0.011472586,+Al/+Pi_pH6,wt
AT4G13520,-0.76,0.002220268,0.026818954,+Al/+Pi_pH6,wt
AT4G23420,-0.76,0.000210679,0.004095417,+Al/+Pi_pH6,wt
AT3G45710,-0.76,0.001236549,0.0171208,+Al/+Pi_pH6,wt
AT5G04820,-0.76,0.001014321,0.014597373,+Al/+Pi_pH6,wt
AT3G59840,-0.76,0.000257398,0.004792381,+Al/+Pi_pH6,wt
AT3G07568,-0.76,0.001197451,0.016692484,+Al/+Pi_pH6,wt
AT1G31885,-0.76,0.001069491,0.015198809,+Al/+Pi_pH6,wt
AT3G16420,-0.76,0.00014591,0.002994453,+Al/+Pi_pH6,wt
AT3G07230,-0.76,0.00405132,0.04297173,+Al/+Pi_pH6,wt
AT3G43890,-0.76,0.00397022,0.042331076,+Al/+Pi_pH6,wt
AT3G01260,-0.76,1.17642E-05,0.000342704,+Al/+Pi_pH6,wt
AT2G24940,-0.77,0.00105825,0.015102031,+Al/+Pi_pH6,wt
AT1G76860,-0.77,0.000260833,0.004831547,+Al/+Pi_pH6,wt
AT3G18410,-0.77,0.000117791,0.002493601,+Al/+Pi_pH6,wt
AT1G66240,-0.77,0.000516609,0.008485664,+Al/+Pi_pH6,wt
AT4G33865,-0.77,0.002048309,0.025233691,+Al/+Pi_pH6,wt
AT3G32980,-0.77,0.000203963,0.003987614,+Al/+Pi_pH6,wt
AT3G47965,-0.77,0.001927409,0.024225888,+Al/+Pi_pH6,wt
AT4G14390,-0.77,0.000903319,0.013336969,+Al/+Pi_pH6,wt
AT5G54040,-0.77,0.000292646,0.005305498,+Al/+Pi_pH6,wt
AT1G67940,-0.77,4.81346E-05,0.001162163,+Al/+Pi_pH6,wt
AT1G10682,-0.77,0.002611545,0.030620939,+Al/+Pi_pH6,wt
AT3G48990,-0.77,1.412E-07,6.97475E-06,+Al/+Pi_pH6,wt
AT5G01610,-0.77,2.06224E-05,0.000558581,+Al/+Pi_pH6,wt
AT5G53970,-0.77,0.002676934,0.031246181,+Al/+Pi_pH6,wt
AT1G79390,-0.77,1.27128E-05,0.000365542,+Al/+Pi_pH6,wt
AT1G01725,-0.78,0.002172949,0.026497797,+Al/+Pi_pH6,wt
AT1G01420,-0.78,0.000654582,0.010336829,+Al/+Pi_pH6,wt
AT4G30450,-0.78,0.003780518,0.040690312,+Al/+Pi_pH6,wt
AT4G28790,-0.78,0.001077528,0.015291772,+Al/+Pi_pH6,wt
AT4G28410,-0.78,4.65072E-07,2.02356E-05,+Al/+Pi_pH6,wt
AT4G22758,-0.78,0.000611064,0.009735036,+Al/+Pi_pH6,wt
AT5G43150,-0.78,8.69014E-05,0.001915015,+Al/+Pi_pH6,wt
AT4G21600,-0.78,2.81055E-05,0.000728463,+Al/+Pi_pH6,wt
AT5G24980,-0.78,0.002165288,0.026435904,+Al/+Pi_pH6,wt
AT4G36380,-0.78,5.13229E-06,0.000162218,+Al/+Pi_pH6,wt
AT3G06700,-0.79,0.003002378,0.034053597,+Al/+Pi_pH6,wt
AT3G61810,-0.79,0.003899041,0.041680807,+Al/+Pi_pH6,wt
AT2G02510,-0.79,5.83891E-05,0.001358426,+Al/+Pi_pH6,wt
AT1G20430,-0.79,0.000363758,0.006336326,+Al/+Pi_pH6,wt
AT4G16450,-0.79,0.000307397,0.005523966,+Al/+Pi_pH6,wt
AT1G72200,-0.79,2.32295E-06,8.03796E-05,+Al/+Pi_pH6,wt
AT5G23760,-0.79,0.000145902,0.002994453,+Al/+Pi_pH6,wt
AT1G15120,-0.79,0.000257547,0.004792381,+Al/+Pi_pH6,wt
AT3G01690,-0.79,5.46432E-05,0.001285908,+Al/+Pi_pH6,wt
AT2G37180,-0.79,0.00013362,0.002782606,+Al/+Pi_pH6,wt
AT2G47485,-0.79,0.000703987,0.010931316,+Al/+Pi_pH6,wt
AT3G18280,-0.80,6.30596E-06,0.000195094,+Al/+Pi_pH6,wt
AT5G55125,-0.80,0.000328077,0.005823938,+Al/+Pi_pH6,wt
AT1G43650,-0.80,5.04413E-06,0.000159679,+Al/+Pi_pH6,wt
AT3G25950,-0.80,0.001402444,0.018930679,+Al/+Pi_pH6,wt
AT5G40780,-0.81,0.000244403,0.004610734,+Al/+Pi_pH6,wt
AT2G45860,-0.81,0.00044847,0.007542121,+Al/+Pi_pH6,wt
AT3G09260,-0.81,2.38131E-05,0.000630801,+Al/+Pi_pH6,wt
AT1G66725,-0.81,0.003609479,0.039451546,+Al/+Pi_pH6,wt
AT4G39780,-0.81,0.000684678,0.010694959,+Al/+Pi_pH6,wt
AT1G60710,-0.81,1.23188E-07,6.20492E-06,+Al/+Pi_pH6,wt
AT5G09830,-0.81,4.04836E-05,0.000992673,+Al/+Pi_pH6,wt
AT2G41300,-0.81,0.000128921,0.002698503,+Al/+Pi_pH6,wt
AT5G54130,-0.81,3.13495E-05,0.000796395,+Al/+Pi_pH6,wt
AT4G15400,-0.81,1.48764E-05,0.00041904,+Al/+Pi_pH6,wt
AT3G13845,-0.82,0.000148706,0.00304408,+Al/+Pi_pH6,wt
AT2G31230,-0.82,0.002421785,0.028928448,+Al/+Pi_pH6,wt
AT3G50740,-0.82,0.000192591,0.003794298,+Al/+Pi_pH6,wt
AT3G22942,-0.82,1.20906E-06,4.58941E-05,+Al/+Pi_pH6,wt
AT4G15160,-0.82,0.002717358,0.031538005,+Al/+Pi_pH6,wt
AT5G15320,-0.82,9.81345E-05,0.002128155,+Al/+Pi_pH6,wt
AT1G78190,-0.82,0.004151725,0.043651813,+Al/+Pi_pH6,wt
AT5G56670,-0.83,0.000756648,0.01154735,+Al/+Pi_pH6,wt
AT5G17490,-0.83,0.002227971,0.026864385,+Al/+Pi_pH6,wt
AT1G21770,-0.83,0.000737989,0.011338754,+Al/+Pi_pH6,wt
AT3G23630,-0.83,0.002731223,0.031591349,+Al/+Pi_pH6,wt
AT3G16450,-0.83,0.000288066,0.005236393,+Al/+Pi_pH6,wt
AT1G66820,-0.83,0.004405718,0.045897575,+Al/+Pi_pH6,wt
AT2G23170,-0.83,0.004786791,0.048749938,+Al/+Pi_pH6,wt
AT4G40042,-0.83,0.000145989,0.002994453,+Al/+Pi_pH6,wt
AT2G37510,-0.83,0.000278485,0.005089387,+Al/+Pi_pH6,wt
AT5G60950,-0.83,0.000112691,0.002405556,+Al/+Pi_pH6,wt
AT5G01060,-0.83,0.004049403,0.04297173,+Al/+Pi_pH6,wt
AT3G05190,-0.83,0.003139446,0.035198283,+Al/+Pi_pH6,wt
AT5G08040,-0.84,0.003903386,0.041705456,+Al/+Pi_pH6,wt
AT2G44210,-0.84,0.003840764,0.041208616,+Al/+Pi_pH6,wt
AT5G57920,-0.84,0.001708343,0.022027504,+Al/+Pi_pH6,wt
AT4G23760,-0.84,0.000104516,0.002254599,+Al/+Pi_pH6,wt
AT1G77400,-0.84,0.00057853,0.009323036,+Al/+Pi_pH6,wt
AT1G33140,-0.84,0.00022392,0.004307767,+Al/+Pi_pH6,wt
AT1G07700,-0.84,0.000229852,0.004405318,+Al/+Pi_pH6,wt
AT5G46530,-0.84,0.000260565,0.00483096,+Al/+Pi_pH6,wt
AT3G06320,-0.84,9.78288E-05,0.002123777,+Al/+Pi_pH6,wt
AT5G65880,-0.84,0.000379703,0.006541635,+Al/+Pi_pH6,wt
AT1G32460,-0.84,1.49508E-05,0.000419978,+Al/+Pi_pH6,wt
AT1G74660,-0.84,4.45835E-05,0.001085395,+Al/+Pi_pH6,wt
AT1G64190,-0.85,1.94655E-05,0.000530052,+Al/+Pi_pH6,wt
AT5G49480,-0.85,0.000327496,0.005818674,+Al/+Pi_pH6,wt
AT4G26060,-0.85,1.8469E-06,6.55714E-05,+Al/+Pi_pH6,wt
AT5G42980,-0.85,1.04903E-05,0.000308229,+Al/+Pi_pH6,wt
AT5G60660,-0.85,0.003662339,0.039774211,+Al/+Pi_pH6,wt
AT2G38300,-0.86,3.97617E-05,0.000977317,+Al/+Pi_pH6,wt
AT4G03500,-0.86,0.002125458,0.026011735,+Al/+Pi_pH6,wt
AT5G07680,-0.86,3.09967E-05,0.000789394,+Al/+Pi_pH6,wt
AT1G01180,-0.86,0.000201825,0.003957169,+Al/+Pi_pH6,wt
AT1G73177,-0.86,0.003297191,0.036665338,+Al/+Pi_pH6,wt
AT1G07150,-0.86,0.000623927,0.009899388,+Al/+Pi_pH6,wt
AT5G05440,-0.86,0.002486094,0.029472823,+Al/+Pi_pH6,wt
AT1G17490,-0.86,0.000145115,0.002985512,+Al/+Pi_pH6,wt
AT3G56240,-0.86,7.58494E-05,0.001697069,+Al/+Pi_pH6,wt
AT5G28610,-0.86,0.002726702,0.031591349,+Al/+Pi_pH6,wt
AT2G17050,-0.86,0.000834297,0.012462649,+Al/+Pi_pH6,wt
AT1G56045,-0.86,0.003198122,0.03571663,+Al/+Pi_pH6,wt
AT3G45160,-0.86,0.000251745,0.004723082,+Al/+Pi_pH6,wt
AT5G59613,-0.87,5.68372E-05,0.00132685,+Al/+Pi_pH6,wt
AT1G66270,-0.87,0.000350997,0.00615129,+Al/+Pi_pH6,wt
AT1G33610,-0.87,0.000623976,0.009899388,+Al/+Pi_pH6,wt
AT5G45480,-0.87,6.23419E-07,2.56003E-05,+Al/+Pi_pH6,wt
AT4G22270,-0.87,1.304E-06,4.902E-05,+Al/+Pi_pH6,wt
AT5G38540,-0.87,0.000930862,0.013665561,+Al/+Pi_pH6,wt
AT5G03330,-0.87,6.27356E-06,0.000194385,+Al/+Pi_pH6,wt
AT4G17870,-0.87,9.28626E-05,0.002028888,+Al/+Pi_pH6,wt
AT2G15620,-0.87,0.000133882,0.002785244,+Al/+Pi_pH6,wt
AT1G74440,-0.87,0.004819239,0.04900718,+Al/+Pi_pH6,wt
AT3G11340,-0.88,5.19909E-05,0.001234859,+Al/+Pi_pH6,wt
AT2G25210,-0.88,0.001591942,0.020882119,+Al/+Pi_pH6,wt
AT4G24265,-0.88,0.000234195,0.004463447,+Al/+Pi_pH6,wt
AT2G23620,-0.88,0.001999762,0.024860577,+Al/+Pi_pH6,wt
AT3G57040,-0.88,5.21739E-08,2.87589E-06,+Al/+Pi_pH6,wt
AT2G26440,-0.88,0.004695023,0.048054664,+Al/+Pi_pH6,wt
AT4G37540,-0.89,1.83606E-06,6.52997E-05,+Al/+Pi_pH6,wt
AT1G67920,-0.89,0.000833292,0.01245994,+Al/+Pi_pH6,wt
AT3G16390,-0.89,0.001241671,0.017177983,+Al/+Pi_pH6,wt
AT2G41310,-0.89,1.9071E-06,6.74745E-05,+Al/+Pi_pH6,wt
AT5G02170,-0.89,0.0035241,0.038642274,+Al/+Pi_pH6,wt
AT5G44130,-0.89,0.00037872,0.00653021,+Al/+Pi_pH6,wt
AT4G29690,-0.89,0.000279596,0.005105128,+Al/+Pi_pH6,wt
AT4G16840,-0.90,0.001715908,0.022097181,+Al/+Pi_pH6,wt
AT4G14690,-0.90,0.000245587,0.0046288,+Al/+Pi_pH6,wt
AT4G10370,-0.90,2.43873E-05,0.000641029,+Al/+Pi_pH6,wt
AT3G04320,-0.90,0.003427454,0.037785141,+Al/+Pi_pH6,wt
AT1G05660,-0.90,0.001091103,0.015441564,+Al/+Pi_pH6,wt
AT5G45810,-0.90,0.002076923,0.025570781,+Al/+Pi_pH6,wt
AT3G48360,-0.90,0.000129723,0.002709737,+Al/+Pi_pH6,wt
AT1G48745,-0.91,0.004856348,0.049310985,+Al/+Pi_pH6,wt
AT3G46810,-0.91,0.004368092,0.04557525,+Al/+Pi_pH6,wt
AT2G39200,-0.91,1.84246E-05,0.000503721,+Al/+Pi_pH6,wt
AT4G11230,-0.91,2.40789E-05,0.000634892,+Al/+Pi_pH6,wt
AT2G33770,-0.91,1.53353E-05,0.00042901,+Al/+Pi_pH6,wt
AT1G51650,-0.91,3.76182E-06,0.000123482,+Al/+Pi_pH6,wt
AT5G49560,-0.91,3.93507E-05,0.000970713,+Al/+Pi_pH6,wt
AT1G76560,-0.91,0.000235382,0.00447774,+Al/+Pi_pH6,wt
AT4G04710,-0.92,0.000270755,0.00496926,+Al/+Pi_pH6,wt
AT1G13930,-0.92,1.97745E-06,6.97222E-05,+Al/+Pi_pH6,wt
AT1G77280,-0.92,1.44443E-06,5.27474E-05,+Al/+Pi_pH6,wt
AT1G48500,-0.92,8.21114E-07,3.29251E-05,+Al/+Pi_pH6,wt
AT4G23400,-0.92,5.93696E-06,0.000184796,+Al/+Pi_pH6,wt
AT5G05960,-0.92,2.48072E-05,0.000650393,+Al/+Pi_pH6,wt
AT3G16410,-0.92,0.001906816,0.02401132,+Al/+Pi_pH6,wt
AT2G47380,-0.93,6.11541E-05,0.00140517,+Al/+Pi_pH6,wt
AT5G13110,-0.93,3.95341E-06,0.000129563,+Al/+Pi_pH6,wt
AT3G52420,-0.93,0.001180351,0.016499092,+Al/+Pi_pH6,wt
AT3G49860,-0.93,2.33191E-05,0.000620931,+Al/+Pi_pH6,wt
AT1G49390,-0.93,9.88721E-06,0.000293034,+Al/+Pi_pH6,wt
AT5G42060,-0.93,1.21561E-05,0.000352612,+Al/+Pi_pH6,wt
AT4G09620,-0.93,3.52439E-06,0.000116248,+Al/+Pi_pH6,wt
AT5G13420,-0.93,1.21301E-07,6.12494E-06,+Al/+Pi_pH6,wt
AT1G03980,-0.93,0.000500073,0.008260487,+Al/+Pi_pH6,wt
AT5G24530,-0.93,1.61002E-06,5.75293E-05,+Al/+Pi_pH6,wt
AT4G27410,-0.94,7.22104E-05,0.001624536,+Al/+Pi_pH6,wt
AT3G60750,-0.94,8.5341E-06,0.000255523,+Al/+Pi_pH6,wt
AT2G01900,-0.94,0.000122603,0.002587433,+Al/+Pi_pH6,wt
AT1G06640,-0.94,4.03965E-08,2.28839E-06,+Al/+Pi_pH6,wt
AT4G15920,-0.94,3.56577E-05,0.000890354,+Al/+Pi_pH6,wt
AT4G19520,-0.95,0.00045405,0.007617156,+Al/+Pi_pH6,wt
AT5G45500,-0.95,1.04725E-06,4.04843E-05,+Al/+Pi_pH6,wt
AT1G66440,-0.95,0.001131709,0.015917084,+Al/+Pi_pH6,wt
AT3G05155,-0.95,0.000290701,0.005279601,+Al/+Pi_pH6,wt
AT4G15390,-0.95,4.84938E-06,0.000154711,+Al/+Pi_pH6,wt
AT2G37170,-0.95,6.32233E-08,3.37576E-06,+Al/+Pi_pH6,wt
AT4G33960,-0.96,0.000383879,0.006596526,+Al/+Pi_pH6,wt
AT3G02140,-0.96,1.15213E-06,4.40394E-05,+Al/+Pi_pH6,wt
AT4G17085,-0.96,0.001311256,0.01791261,+Al/+Pi_pH6,wt
AT4G19975,-0.96,0.000365053,0.006348079,+Al/+Pi_pH6,wt
AT4G21780,-0.96,0.001819913,0.023125736,+Al/+Pi_pH6,wt
AT4G27030,-0.96,0.002747117,0.031739294,+Al/+Pi_pH6,wt
AT5G45470,-0.96,3.51819E-07,1.57778E-05,+Al/+Pi_pH6,wt
AT1G07710,-0.97,0.001051875,0.015032035,+Al/+Pi_pH6,wt
AT5G48175,-0.97,0.001330929,0.018132907,+Al/+Pi_pH6,wt
AT4G37580,-0.97,0.000397045,0.006783268,+Al/+Pi_pH6,wt
AT3G27170,-0.97,3.14942E-05,0.000798476,+Al/+Pi_pH6,wt
AT5G40850,-0.97,5.15772E-05,0.001227886,+Al/+Pi_pH6,wt
AT2G25160,-0.98,0.001584872,0.020802715,+Al/+Pi_pH6,wt
AT1G24620,-0.98,0.004528586,0.04684349,+Al/+Pi_pH6,wt
AT1G05300,-0.98,0.003344753,0.037073276,+Al/+Pi_pH6,wt
AT1G51790,-0.98,2.9227E-06,9.84664E-05,+Al/+Pi_pH6,wt
AT3G06420,-0.98,2.68433E-06,9.13386E-05,+Al/+Pi_pH6,wt
AT4G21310,-0.98,0.000237373,0.00450304,+Al/+Pi_pH6,wt
AT1G29025,-0.98,1.80156E-07,8.6281E-06,+Al/+Pi_pH6,wt
AT3G29034,-0.98,1.02581E-06,3.98061E-05,+Al/+Pi_pH6,wt
AT1G17455,-0.99,1.03837E-05,0.000305975,+Al/+Pi_pH6,wt
AT5G19040,-0.99,8.2659E-07,3.30798E-05,+Al/+Pi_pH6,wt
AT5G05435,-0.99,0.000664018,0.010452588,+Al/+Pi_pH6,wt
AT4G31985,-0.99,0.000756347,0.01154735,+Al/+Pi_pH6,wt
AT3G47040,-0.99,3.15556E-05,0.000798653,+Al/+Pi_pH6,wt
AT3G28650,-0.99,0.002091993,0.025725355,+Al/+Pi_pH6,wt
AT4G08770,-1.00,0.003441759,0.037881573,+Al/+Pi_pH6,wt
AT3G13435,-1.00,3.69579E-05,0.000917219,+Al/+Pi_pH6,wt
AT2G01880,-1.00,0.000197598,0.003878004,+Al/+Pi_pH6,wt
AT1G22650,-1.00,0.004109828,0.043399939,+Al/+Pi_pH6,wt
AT5G56870,-1.00,0.000108991,0.00233633,+Al/+Pi_pH6,wt
AT5G19110,-1.00,0.00053628,0.008766531,+Al/+Pi_pH6,wt
AT5G23950,-1.01,0.004409308,0.045911583,+Al/+Pi_pH6,wt
AT1G30370,-1.01,0.000202619,0.003965133,+Al/+Pi_pH6,wt
AT3G62400,-1.01,3.46019E-05,0.000868233,+Al/+Pi_pH6,wt
AT1G60050,-1.01,0.001304281,0.017836179,+Al/+Pi_pH6,wt
AT1G21360,-1.01,0.000625072,0.009909087,+Al/+Pi_pH6,wt
AT5G05370,-1.01,8.53724E-05,0.001885385,+Al/+Pi_pH6,wt
AT2G19150,-1.01,0.00376901,0.040610463,+Al/+Pi_pH6,wt
AT1G05205,-1.01,1.6888E-07,8.14529E-06,+Al/+Pi_pH6,wt
AT3G23175,-1.01,6.86311E-06,0.000210421,+Al/+Pi_pH6,wt
AT1G34760,-1.01,2.29822E-05,0.000613559,+Al/+Pi_pH6,wt
AT1G73270,-1.02,2.02339E-07,9.60052E-06,+Al/+Pi_pH6,wt
AT3G59130,-1.02,0.004056808,0.042987751,+Al/+Pi_pH6,wt
AT4G35030,-1.02,7.49951E-09,5.10715E-07,+Al/+Pi_pH6,wt
AT3G51540,-1.02,7.59204E-06,0.000230694,+Al/+Pi_pH6,wt
AT3G17609,-1.02,3.62735E-08,2.07785E-06,+Al/+Pi_pH6,wt
AT1G55700,-1.03,0.004057035,0.042987751,+Al/+Pi_pH6,wt
AT3G46710,-1.03,0.00255644,0.030139232,+Al/+Pi_pH6,wt
AT4G17340,-1.03,0.001061914,0.015129997,+Al/+Pi_pH6,wt
AT4G15500,-1.04,1.5888E-06,5.71704E-05,+Al/+Pi_pH6,wt
AT1G53940,-1.04,5.27755E-06,0.000166552,+Al/+Pi_pH6,wt
AT1G68880,-1.04,1.48203E-05,0.000418035,+Al/+Pi_pH6,wt
AT2G24540,-1.04,0.000893775,0.013206424,+Al/+Pi_pH6,wt
AT1G64405,-1.04,3.15095E-05,0.000798476,+Al/+Pi_pH6,wt
AT2G44380,-1.05,2.40917E-05,0.000634892,+Al/+Pi_pH6,wt
AT4G14630,-1.05,0.000220582,0.004259582,+Al/+Pi_pH6,wt
AT4G04840,-1.05,0.000139537,0.002885268,+Al/+Pi_pH6,wt
AT3G61430,-1.05,2.14269E-08,1.30024E-06,+Al/+Pi_pH6,wt
AT4G18340,-1.06,1.83623E-08,1.14487E-06,+Al/+Pi_pH6,wt
AT1G54000,-1.06,1.33382E-06,4.97749E-05,+Al/+Pi_pH6,wt
AT4G15270,-1.06,0.000269696,0.004959785,+Al/+Pi_pH6,wt
AT3G51340,-1.06,0.002196975,0.026647765,+Al/+Pi_pH6,wt
AT5G58660,-1.06,5.8988E-05,0.001369246,+Al/+Pi_pH6,wt
AT5G58784,-1.06,0.003032374,0.03430855,+Al/+Pi_pH6,wt
AT2G23400,-1.06,0.004140039,0.043573754,+Al/+Pi_pH6,wt
AT5G02140,-1.06,0.000420672,0.00716299,+Al/+Pi_pH6,wt
AT4G32870,-1.06,4.4379E-08,2.49327E-06,+Al/+Pi_pH6,wt
AT1G13590,-1.06,1.61195E-06,5.75293E-05,+Al/+Pi_pH6,wt
AT4G13890,-1.07,0.000232358,0.004436718,+Al/+Pi_pH6,wt
AT5G67420,-1.07,6.07143E-07,2.50324E-05,+Al/+Pi_pH6,wt
AT3G62760,-1.07,0.002338315,0.028013211,+Al/+Pi_pH6,wt
AT3G50200,-1.07,0.003388484,0.037445213,+Al/+Pi_pH6,wt
AT1G49245,-1.07,0.000259488,0.004815364,+Al/+Pi_pH6,wt
AT1G70920,-1.07,0.000250367,0.004701567,+Al/+Pi_pH6,wt
AT5G15830,-1.07,2.90811E-07,1.32452E-05,+Al/+Pi_pH6,wt
AT5G28630,-1.07,0.000183276,0.003649461,+Al/+Pi_pH6,wt
AT5G57815,-1.07,4.2004E-06,0.000135817,+Al/+Pi_pH6,wt
AT1G02900,-1.07,1.11332E-06,4.26476E-05,+Al/+Pi_pH6,wt
AT1G78860,-1.08,0.000104993,0.002260119,+Al/+Pi_pH6,wt
AT4G23590,-1.09,0.003790907,0.040780669,+Al/+Pi_pH6,wt
