symbol,low_log2fold,low_cpm
1700026D08Rik,0,1
Ocm,0,1
Guca2a,0,1
Tbx15,0,1
Car6,0,1
Neurog3,0,1
Kcnc2,0,1
Phactr3,0,1
Gal3st3,0,1
Calhm1,0,1
Tex22,0,1
H60c,0,1
Apol6,0,1
C77370,0,1
Mapk8ip2,0,1
Acta1,0,1
Spink2,0,1
Cited1,0,1
Gm5535,0,1
Sbk2,0,1
Pnliprp1,0,1
Col22a1,0,1
1700013D24Rik,0,1
Cdhr3,0,1
Gxylt2,0,1
Gm10413,0,1
Tcam1,0,1
Scin,0,1
Myog,0,1
Serpinb12,0,1
Vmn2r86,0,1
Gm766,0,1
Slc1a1,0,1
Lrrc3b,0,1
Insl5,0,1
Clca4,0,1
41702,0,1
Rgs6,0,1
Murc,0,1
Egr4,0,1
Gpha2,0,1
Trpv5,0,1
Klk1b24,0,1
Slc24a1,0,1
Krt20,0,1
Akr1cl,0,1
Cplx3,0,1
Tmem145,0,1
Tex11,0,1
Olfr702,0,1
V1ra8,0,1
Spag11b,0,1
Krt86,0,1
BC049730,0,1
Dpep3,0,1
Prok2,0,1
Oxt,0,1
Scnn1g,0,1
Kcnq2,0,1
Mmp16,0,1
Uts2,0,1
Klf5,0,1
Fam71e2,0,1
Tshr,0,1
Gpr150,0,1
Macc1,0,1
Dpcr1,0,1
Nppa,0,1
Vmn2r4,0,1
4933427G17Rik,0,1
Tmprss13,0,1
Vsx1,0,1
Muc5ac,0,1
Casq2,0,1
Slitrk4,0,1
Gpr61,0,1
Gm4984,0,1
Isl2,0,1
41894,0,1
Prr19,0,1
Zscan10,0,1
Wbp2nl,0,1
Khdc1b,0,1
Gm4763,0,1
Xylt1,0,1
Slc13a1,0,1
Sult2a3,0,1
Hoxc5,0,1
Rgag1,0,1
4930548H24Rik,0,1
1700042B14Rik,0,1
Gdnf,0,1
Tlx2,0,1
Dfnb59,0,1
Htr2b,0,1
Chit1,0,1
Asb15,0,1
Ostn,0,1
1700034J05Rik,0,1
Stmn3,0,1
Pou5f1,0,1
Igll1,0,1
Gpr21,0,1
Hrnr,0,1
1700001C02Rik,0,1
Awat1,0,1
Myh2,0,1
Tssk2,0,1
Crybb1,0,1
Bpi,0,1
Hormad1,0,1
Gm13271,0,1
Ccdc33,0,1
Bmp8a,0,1
Svs2,0,1
9430069I07Rik,0,1
4930503B20Rik,0,1
Tll2,0,1
Ecel1,0,1
Gm6592,0,1
Cck,0,1
Csf3,0,1
Tuba3a,0,1
Arrdc5,0,1
Gm1661,0,1
Fmo6,0,1
1700015E13Rik,0,1
Klk7,0,1
Ldlrad1,0,1
Cdsn,0,1
Gm572,0,1
Rnf151,0,1
BC117090,0,1
Ankrd53,0,1
Fpr3,0,1
Xlr5b,0,1
